rank,name,Enrollment 9-12,Student-Teacher Ratio,STEM Index,English Proficiency,Graduation Rate,Math Proficiency,College Readiness,long,lat
1,Payton College Preparatory High School,977,18.0,76.6242574202689,98.0,99.1,97.0,93.943,41.901619,-87.634685
2,Northside College Preparatory High School,1069,18.0,77.47497406447741,98.0,98.0,95.0,92.095,41.981346,-87.7079
3,Lane Technical High School,3942,21.0,56.9497516462461,88.0,97.5,88.0,87.359,41.945206,-87.690643
4,Young Magnet High School,1856,20.0,68.8927319910926,93.0,97.2,92.0,81.123,41.878311,-87.663573
5,Jones College Prep High School,1815,20.0,69.03935410580979,89.0,94.6,84.0,78.718,41.872999,-87.627921
8,Brooks College Prep Academy High School,859,22.0,13.0553110328638,78.0,99.0,65.0,67.327,41.694113,-87.615847
9,Phoenix Military Academy High School,540,23.0,4.932321575061531,52.0,99.1,36.0,78.509,41.878717,-87.688269
11,Lindblom Math and Science Academy,1056,18.0,33.2786413356362,75.0,99.5,55.0,62.558,41.782119,-87.672143
17,Lincoln Park High School,2126,19.0,39.1778903328909,61.0,92.8,56.0,67.859,41.918446,-87.645976
28,Westinghouse High School,1151,18.0,33.354092028661,44.0,98.8,39.0,54.876000000000005,41.918438,-87.645986
33,Devry Advantage Academy High School,196,23.0,24.873651500938102,54.0,100.0,45.0,47.75,41.862686,-87.660653
48,King College Prep High School,638,17.0,,49.0,97.7,31.0,37.583,41.813913,-87.60296
57,Von Steuben Metro Science High School,1735,19.0,,41.0,97.4,35.0,44.082,41.972816,-87.712864
63,Solorio Academy High School,1140,18.0,,31.0,97.6,34.0,48.456,41.794972,-87.71147
68,Back Of the Yards Ib High School,1043,17.0,,28.0,98.8,32.0,44.342,41.807944,-87.67799
80,Chicago Math and Sci Elem Charter,345,16.0,,32.0,94.4,46.0,27.717,42.013456,-87.675121
84,Intrinsic Charter High School,649,21.0,,36.0,94.7,19.0,46.26,41.939693,-87.740995
92,Kenwood Academy High School,1510,20.0,,45.0,96.2,38.0,22.656,41.803371,-87.589394
95,Ogden Int High School,391,8.0,,40.0,95.0,31.0,39.891,41.893903,-87.658848
99,Infinity Math Science and Tech High School,409,15.0,,18.0,100.0,25.0,48.733999999999995,41.835461,-87.735642
232,Washington G High School,1402,17.0,,17.0,88.8,7.0,32.685,41.68775,-87.537966
233,Kelly High School,2016,18.0,,13.0,91.9,16.0,30.771,41.818384,-87.694859
238,Ihsca Charter High School,756,76.0,,5.0,94.4,10.0,39.251,41.845741,-87.685844
240,Chicago Military Academy High School,292,17.0,,17.0,100.0,5.0,13.982999999999999,41.83043,-87.619162
244,Morgan Park High School,1298,18.0,,14.0,85.3,10.0,14.140999999999998,41.69225,-87.665317
253,Williams Medical Prep High School,234,13.0,,6.0,100.0,2.0,19.595,41.80462,-87.624751
261,Air Force Acad High School,331,21.0,,17.0,97.7,11.0,10.87,41.827936,-87.632949
263,Amundsen High School,1166,19.0,,16.0,95.7,17.0,11.944,41.975758,-87.680084
274,Young Womens Leadership Chartr High School,249,,,9.0,98.0,7.0,15.565999999999999,41.844485,-87.61838
276,Phillips Academy High School,528,15.0,,9.0,98.9,2.0,14.394,41.824072,-87.619793
286,Marine Leadership Academy - Ames,556,19.0,,13.0,97.4,17.0,10.855,41.916381,-87.722329
290,Steinmetz College Prep High School,1356,17.0,,15.0,91.9,11.0,25.819000000000003,41.935679,-87.784141
319,Catalyst Charter - Maria Es,558,41.0,,6.0,97.6,6.0,14.808,41.770966,-87.692638
324,Juarez Community Academy High School,1590,17.0,,13.0,90.3,8.0,18.125,41.852882,-87.664533
338,Goode Stem Academy High School,861,18.0,,12.0,96.2,9.0,9.707,41.753946,-87.706463
345,North-Grand High School,959,19.0,,10.0,87.9,7.0,22.945,41.912462,-87.73496
351,Urban Prep Chtr Acad Englewood High School,324,46.0,,7.0,89.6,6.0,10.526,41.782087,-87.634203
366,Hyde Park Academy High School,725,16.0,,5.0,94.9,4.0,9.652999999999999,41.782217,-87.587062
383,Bronzeville Scholastic High School,372,14.0,,3.0,96.4,1.0,8.298,41.804549,-87.625166
392,Chicago Technology Academy High School,272,,,9.0,96.1,9.0,5.747000000000001,41.863243,-87.659268
